127.0.0.1 - - [16/Aug/2022:09:36:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:29 +0900] "GET /project/ HTTP/1.1" 200 21840
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:29 +0900] "GET /project/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:29 +0900] "GET /project/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:29 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:29 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:29 +0900] "GET /project/js/datatables-simple-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:29 +0900] "GET /project/js/simple-datatables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:29 +0900] "GET /project/img/class2.jpg HTTP/1.1" 200 307060
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:29 +0900] "GET /project/img/class3.jpg HTTP/1.1" 200 69962
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:36 +0900] "GET /project/ HTTP/1.1" 200 21752
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:36 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:36 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:38 +0900] "GET /project/student_list.so?class_id=1&dis=1&class_name=%EA%B3%A01%20A-2 HTTP/1.1" 200 32814
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:38 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:38 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:39 +0900] "GET /project/student_list.so?class_id=2&dis=1&class_name=%E3%85%81%E3%84%B4%E3%84%B4%E3%85%81%E3%84%B4 HTTP/1.1" 200 28160
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:39 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:39 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [16/Aug/2022:09:36:40 +0900] "GET /project/student_list.so?class_id=3&dis=1&class_name=%EA%B3%A03%20B-1%EB%B0%98 HTTP/1.1" 200 29758
