127.0.0.1 - - [19/Aug/2022:10:59:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:59:14 +0900] "GET /project/class_list.so HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:10:59:19 +0900] "GET /project/ HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:00:36 +0900] "GET /project/home?id=q&pw=q HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:00:36 +0900] "GET /project/main HTTP/1.1" 200 16396
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:00:36 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:00:36 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:00:40 +0900] "GET /project/student_list.so?class_id=6&dis=1&class_name=%EA%B3%A01%20%EC%98%81%EC%96%B4%20%ED%8A%B9%EA%B0%95 HTTP/1.1" 200 23138
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:00:40 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:00:40 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:00:57 +0900] "GET /project/ HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:01:00 +0900] "GET /project/home?id=q&pw=q HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:01:00 +0900] "GET /project/main HTTP/1.1" 200 16396
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:01:00 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:01:00 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:02:33 +0900] "GET /project/check_list.ha?class_id=3&class_name=%EA%B3%A03%20B-1%EB%B0%98&dis=4 HTTP/1.1" 200 22453
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:02:33 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:02:33 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:02:45 +0900] "POST /project/check_list.ha HTTP/1.1" 200 22453
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:02:45 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:02:45 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:02:52 +0900] "GET /project/class_list.so HTTP/1.1" 200 26811
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:02:52 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:02:52 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:04 +0900] "GET /project/student_list.so?class_id=3&dis=1&class_name=%EA%B3%A03%20B-1%EB%B0%98 HTTP/1.1" 200 24699
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:04 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:04 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:05 +0900] "GET /project/student_list.so?class_id=3&dis=1&class_name=%EA%B3%A03%20B-1%EB%B0%98 HTTP/1.1" 200 24699
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:05 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:05 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:05 +0900] "GET /project/student_list.so?class_id=5&dis=1&class_name=%EA%B3%A02%20%EC%98%81%EC%96%B4-a%EB%B0%98 HTTP/1.1" 200 24743
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:05 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:05 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:06 +0900] "GET /project/student_list.so?class_id=7&dis=1&class_name=%EA%B3%A01%20%EC%98%81%EC%96%B4%20%EB%8B%A8%EA%B3%BC HTTP/1.1" 200 23113
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:06 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:06 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:07 +0900] "GET /project/student_list.so?class_id=6&dis=1&class_name=%EA%B3%A01%20%EC%98%81%EC%96%B4%20%ED%8A%B9%EA%B0%95 HTTP/1.1" 200 23138
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:07 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:07 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:08 +0900] "GET /project/student_list.so?class_id=5&dis=1&class_name=%EA%B3%A02%20%EC%98%81%EC%96%B4-a%EB%B0%98 HTTP/1.1" 200 24743
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:08 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:08 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:10 +0900] "GET /project/main HTTP/1.1" 200 16396
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:10 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:03:10 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:06:42 +0900] "GET /project/test_list.ho?class_id=3&dis=3&class_name=%EA%B3%A03%20B-1%EB%B0%98 HTTP/1.1" 200 23694
0:0:0:0:0:0:0:1 - - [19/Aug/2022:11:06:42 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
